program	first_seen_rank	range	rows	blocks	summary	evidence_basis	behavior_tags	confidence	exact_side_effect_categories	role_mix	top_strings	outgoing_targets	incoming_programs	external_or_exit_edges	top_opcodes	state_kind_mix	dispatch_slot_mix	source_c	vmops	dossier	unresolved	next_action
048	19	0x334a3d..0x336d93	2333	13	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	medium	cxx_runtime:1,locale_i18n:1,compiler_metadata:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,compiler_type_name:1	_ITM_registerTMCloneTable || __freelocale || long double	048:12,049:1	048:12,043:1,054:1	0	vmop_340_plus0x4_state_add_const_slot_multi_path:73,vmop_064_plus0x4_state_add_const_slot_multi_path:73,vmop_018_plus0x3_state_add_const_slot_multi_path:72,vmop_066_plus0x3_state_add_const_slot_multi_path:71,vmop_337_plus0x4_state_add_const_slot_multi_path:70,vmop_028_plus0x3_state_add_const_slot_u16_0:70,vmop_114_plus0x4_state_add_const_slot_multi_path:69,vmop_189_plus0x4_state_add_const_slot_mba_stateful:64,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:59,vmop_215_plus0x3_state_mixed_slot_u16_0:59	state_add_const:2152,state_mixed:126,state_const_post:35,state_preserve:12,sampled_backedge:4,sampled_long_or_sparse:2,exact:1,state_formula:1	slot_multi_path:1473,slot_mba_stateful:604,slot_u16_0:134,slot_u16_1_sub_const:59,slot_const_or_affine:48,slot_u16_2:8,slot_unknown:7	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_048.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_048.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_048.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
049	22	0x336dc8..0x33710f	222	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			external_or_exit:1	048:1	1	vmop_340_plus0x4_state_add_const_slot_multi_path:10,vmop_199_plus0x3_state_add_const_slot_multi_path:10,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:9,vmop_337_plus0x4_state_add_const_slot_multi_path:9,vmop_258_plus0x4_state_add_const_slot_multi_path:9,vmop_297_plus0x3_state_add_const_slot_multi_path:9,vmop_018_plus0x3_state_add_const_slot_multi_path:9,vmop_114_plus0x4_state_add_const_slot_multi_path:9,vmop_066_plus0x3_state_add_const_slot_multi_path:8,vmop_347_plus0x4_state_add_const_slot_multi_path:8	state_add_const:214,state_const_post:3,state_mixed:3,state_preserve:2	slot_multi_path:159,slot_mba_stateful:44,slot_u16_1_sub_const:9,slot_u16_0:6,slot_const_or_affine:4	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_049.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_049.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_049.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
050	25	0x337e84..0x33a350	2416	15	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			050:14,051:1	050:14	0	vmop_028_plus0x3_state_add_const_slot_u16_0:79,vmop_018_plus0x3_state_add_const_slot_multi_path:78,vmop_189_plus0x4_state_add_const_slot_mba_stateful:77,vmop_064_plus0x4_state_add_const_slot_multi_path:75,vmop_337_plus0x4_state_add_const_slot_multi_path:71,vmop_340_plus0x4_state_add_const_slot_multi_path:69,vmop_297_plus0x3_state_add_const_slot_multi_path:68,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:67,vmop_114_plus0x4_state_add_const_slot_multi_path:64,vmop_066_plus0x3_state_add_const_slot_multi_path:64	state_add_const:2258,state_mixed:120,state_const_post:34,sampled_long_or_sparse:1,sampled_backedge:1,state_preserve:1,exact:1	slot_multi_path:1538,slot_mba_stateful:627,slot_u16_0:133,slot_u16_1_sub_const:67,slot_const_or_affine:25,slot_u16_2:23,slot_unknown:3	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_050.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_050.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_050.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
051	26	0x33a385..0x33a6cc	220	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			051:1,external_or_exit:1	050:1,051:1	1	vmop_114_plus0x4_state_add_const_slot_multi_path:12,vmop_258_plus0x4_state_add_const_slot_multi_path:11,vmop_028_plus0x3_state_add_const_slot_u16_0:11,vmop_185_plus0x3_state_add_const_slot_multi_path:9,vmop_064_plus0x4_state_add_const_slot_multi_path:9,vmop_020_plus0x4_state_add_const_slot_multi_path:9,vmop_066_plus0x3_state_add_const_slot_multi_path:8,vmop_337_plus0x4_state_add_const_slot_multi_path:8,vmop_018_plus0x3_state_add_const_slot_multi_path:8,vmop_189_plus0x4_state_add_const_slot_mba_stateful:8	state_add_const:207,state_mixed:10,state_const_post:3	slot_multi_path:153,slot_mba_stateful:44,slot_u16_0:17,slot_u16_1_sub_const:4,slot_const_or_affine:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_051.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_051.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_051.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
052	27	0x33b647..0x33d2d9	1891	5	TLS/SSL protocol or library-adjacent logic; host/environment inventory surface	exact string/data references plus opcode/control evidence	tls_or_ssl;host_environment	medium	tls_or_ssl:1,host_environment_inventory:1	tls_protocol_message:1,libc_version_requirement:1	dropping unexpected ChangeCipherSpec || GLIBC_2.17	052:4,external_or_exit:1	052:4,043:1	1	vmop_018_plus0x3_state_add_const_slot_multi_path:66,vmop_337_plus0x4_state_add_const_slot_multi_path:58,vmop_189_plus0x4_state_add_const_slot_mba_stateful:57,vmop_028_plus0x3_state_add_const_slot_u16_0:55,vmop_347_plus0x4_state_add_const_slot_multi_path:54,vmop_297_plus0x3_state_add_const_slot_multi_path:50,vmop_258_plus0x4_state_add_const_slot_multi_path:50,vmop_340_plus0x4_state_add_const_slot_multi_path:46,vmop_114_plus0x4_state_add_const_slot_multi_path:46,vmop_066_plus0x3_state_add_const_slot_multi_path:46	state_add_const:1747,state_mixed:99,state_const_post:31,state_preserve:11,sampled_long_or_sparse:1,state_formula:1,sampled_backedge:1	slot_multi_path:1157,slot_mba_stateful:533,slot_u16_0:102,slot_u16_1_sub_const:41,slot_const_or_affine:37,slot_u16_2:18,slot_unknown:2,slot_u16_1:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_052.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_052.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_052.md	external_or_exit_edges_need_semantics	reduce opcode/dataflow around referenced site and native bridge target
053	20	0x33db28..0x33e849	853	9	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			053:7,054:2	053:7,054:1	0	vmop_340_plus0x4_state_add_const_slot_multi_path:36,vmop_337_plus0x4_state_add_const_slot_multi_path:36,vmop_189_plus0x4_state_add_const_slot_mba_stateful:32,vmop_258_plus0x4_state_add_const_slot_multi_path:32,vmop_028_plus0x3_state_add_const_slot_u16_0:31,vmop_018_plus0x3_state_add_const_slot_multi_path:30,vmop_297_plus0x3_state_add_const_slot_multi_path:27,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:26,vmop_064_plus0x4_state_add_const_slot_multi_path:25,vmop_199_plus0x3_state_add_const_slot_multi_path:25	state_add_const:782,state_mixed:54,state_const_post:9,state_preserve:3,state_formula:2,sampled_long_or_sparse:1,state_affine:1,sampled_backedge:1	slot_multi_path:557,slot_mba_stateful:199,slot_u16_0:57,slot_u16_1_sub_const:26,slot_const_or_affine:10,slot_u16_2:2,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_053.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_053.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_053.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
054	21	0x33e889..0x33ea02	92	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			053:1,048:1	053:2	0	vmop_174_plus0x4_state_add_const_slot_mba_stateful:6,vmop_189_plus0x4_state_add_const_slot_mba_stateful:5,vmop_258_plus0x4_state_add_const_slot_multi_path:5,vmop_199_plus0x3_state_add_const_slot_multi_path:4,vmop_108_plus0x2_state_add_const_slot_mba_stateful:4,vmop_215_plus0x3_state_mixed_slot_u16_0:4,vmop_337_plus0x4_state_add_const_slot_multi_path:3,vmop_297_plus0x3_state_add_const_slot_multi_path:3,vmop_028_plus0x3_state_add_const_slot_u16_0:3,vmop_123_plus0x4_state_add_const_slot_mba_stateful:3	state_add_const:82,state_mixed:5,state_const_post:2,sampled_backedge:2,state_formula:1	slot_multi_path:49,slot_mba_stateful:29,slot_u16_0:7,slot_const_or_affine:3,slot_u16_1_sub_const:2,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_054.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_054.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_054.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
055	30	0x33f278..0x34556c	6540	45	TLS/SSL protocol or library-adjacent logic; threading or synchronization surface; host/environment inventory surface; process or shell helper surface; C++ runtime/support surface	exact string/data references plus opcode/control evidence	tls_or_ssl;threading_sync;host_environment;cxx_runtime	medium	cxx_runtime:7,locale_i18n:6,threading_sync:2,tls_or_ssl:1,process_or_shell:1,host_environment_inventory:1	gnu_transactional_memory_runtime_symbol:6,locale_runtime_symbol:6,threading_import_symbol:2,cxx_runtime_type_or_exception_text:1,tls_library_source_path:1,process_or_host_import_symbol:1	_ITM_registerTMCloneTable || __freelocale || NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE || _ITM_registerTMCloneTable || __freelocale || /home/richard/code/mbedtls/library/ssl_tls.c || pthread_cond_timedwait || _ITM_registerTMCloneTable	055:43,041:1,external_or_exit:1	055:43,010:1,041:1	1	vmop_028_plus0x3_state_add_const_slot_u16_0:187,vmop_018_plus0x3_state_add_const_slot_multi_path:184,vmop_258_plus0x4_state_add_const_slot_multi_path:172,vmop_066_plus0x3_state_add_const_slot_multi_path:169,vmop_189_plus0x4_state_add_const_slot_mba_stateful:168,vmop_064_plus0x4_state_add_const_slot_multi_path:166,vmop_114_plus0x4_state_add_const_slot_multi_path:164,vmop_340_plus0x4_state_add_const_slot_multi_path:164,vmop_337_plus0x4_state_add_const_slot_multi_path:160,vmop_185_plus0x3_state_add_const_slot_multi_path:157	state_add_const:6011,state_mixed:327,state_const_post:134,state_preserve:27,sampled_backedge:14,state_formula:12,sampled_long_or_sparse:10,exact:4	slot_multi_path:3991,slot_mba_stateful:1895,slot_u16_0:331,slot_u16_1_sub_const:146,slot_const_or_affine:112,slot_u16_2:32,slot_unknown:29,slot_u16_0_sub_const:4	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_055.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_055.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_055.md	external_or_exit_edges_need_semantics	reduce opcode/dataflow around referenced site and native bridge target
056	32	0x3603af..0x36525e	5215	22	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			056:21,057:1	056:21,010:1,060:1,062:1,065:1	0	vmop_337_plus0x4_state_add_const_slot_multi_path:178,vmop_018_plus0x3_state_add_const_slot_multi_path:174,vmop_066_plus0x3_state_add_const_slot_multi_path:161,vmop_340_plus0x4_state_add_const_slot_multi_path:160,vmop_189_plus0x4_state_add_const_slot_mba_stateful:151,vmop_064_plus0x4_state_add_const_slot_multi_path:145,vmop_028_plus0x3_state_add_const_slot_u16_0:143,vmop_114_plus0x4_state_add_const_slot_multi_path:140,vmop_297_plus0x3_state_add_const_slot_multi_path:137,vmop_258_plus0x4_state_add_const_slot_multi_path:136	state_add_const:4816,state_mixed:250,state_const_post:85,state_preserve:38,state_formula:12,sampled_backedge:6,sampled_long_or_sparse:4,exact:2	slot_multi_path:3331,slot_mba_stateful:1358,slot_u16_0:264,slot_u16_1_sub_const:134,slot_const_or_affine:89,slot_u16_2:23,slot_unknown:14,slot_u16_0_sub_const:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_056.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_056.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_056.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
057	40	0x365458..0x3654a8	14	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			058:1	056:1	0	vmop_165_plus0x2_state_const_post_slot_const_or_affine:2,vmop_028_plus0x3_state_add_const_slot_u16_0:2,vmop_189_plus0x4_state_add_const_slot_mba_stateful:1,vmop_268_plus0x4_state_add_const_slot_multi_path:1,vmop_253_plus0x6_state_add_const_slot_mba_stateful:1,vmop_220_plus0x5_state_add_const_slot_multi_path:1,vmop_173_plus0x2_state_add_const_slot_multi_path:1,vmop_258_plus0x4_state_add_const_slot_multi_path:1,vmop_254_plus0x4_state_add_const_slot_mba_stateful:1,vmop_168_plus0x4_state_add_const_slot_multi_path:1	state_add_const:10,state_const_post:2,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:5,slot_mba_stateful:4,slot_const_or_affine:2,slot_u16_0:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_057.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_057.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_057.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
058	41	0x3654e0..0x3655e4	70	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			external_or_exit:1	057:1	1	vmop_189_plus0x4_state_add_const_slot_mba_stateful:6,vmop_258_plus0x4_state_add_const_slot_multi_path:6,vmop_176_plus0x4_state_add_const_slot_multi_path:5,vmop_018_plus0x3_state_add_const_slot_multi_path:4,vmop_185_plus0x3_state_add_const_slot_multi_path:3,vmop_340_plus0x4_state_add_const_slot_multi_path:3,vmop_158_plus0x4_state_add_const_slot_multi_path:3,vmop_066_plus0x3_state_add_const_slot_multi_path:3,vmop_333_plus0x4_state_add_const_slot_multi_path:2,vmop_160_plus0x2_state_const_post_slot_multi_path:2	state_add_const:65,state_const_post:3,state_mixed:1,state_formula:1	slot_multi_path:49,slot_mba_stateful:15,slot_u16_0:3,slot_u16_1_sub_const:2,slot_const_or_affine:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_058.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_058.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_058.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
059	33	0x3674c3..0x369a93	2468	24	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	medium	cxx_runtime:2,embedded_data_or_token:1,locale_i18n:1	embedded_token_or_encoded_blob:1,gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,cxx_runtime_type_or_exception_text:1	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	059:22,060:2	059:22,060:1	0	vmop_066_plus0x3_state_add_const_slot_multi_path:82,vmop_340_plus0x4_state_add_const_slot_multi_path:81,vmop_189_plus0x4_state_add_const_slot_mba_stateful:79,vmop_114_plus0x4_state_add_const_slot_multi_path:77,vmop_018_plus0x3_state_add_const_slot_multi_path:73,vmop_028_plus0x3_state_add_const_slot_u16_0:72,vmop_064_plus0x4_state_add_const_slot_multi_path:70,vmop_258_plus0x4_state_add_const_slot_multi_path:68,vmop_185_plus0x3_state_add_const_slot_multi_path:62,vmop_347_plus0x4_state_add_const_slot_multi_path:62	state_add_const:2271,state_mixed:131,state_const_post:45,state_formula:8,sampled_long_or_sparse:4,sampled_backedge:3,state_preserve:3,state_simple:2	slot_multi_path:1550,slot_mba_stateful:669,slot_u16_0:133,slot_u16_1_sub_const:58,slot_const_or_affine:35,slot_u16_2:13,slot_unknown:9,slot_u16_0_sub_const:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_059.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_059.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_059.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
060	34	0x369ad3..0x36a0bc	387	4	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			060:2,059:1,056:1	059:2,060:2	0	vmop_018_plus0x3_state_add_const_slot_multi_path:21,vmop_337_plus0x4_state_add_const_slot_multi_path:18,vmop_064_plus0x4_state_add_const_slot_multi_path:18,vmop_347_plus0x4_state_add_const_slot_multi_path:17,vmop_114_plus0x4_state_add_const_slot_multi_path:15,vmop_185_plus0x3_state_add_const_slot_multi_path:14,vmop_199_plus0x3_state_add_const_slot_multi_path:13,vmop_123_plus0x4_state_add_const_slot_mba_stateful:13,vmop_189_plus0x4_state_add_const_slot_mba_stateful:12,vmop_028_plus0x3_state_add_const_slot_u16_0:11	state_add_const:362,state_mixed:15,state_const_post:6,sampled_backedge:2,state_preserve:1,state_formula:1	slot_multi_path:261,slot_mba_stateful:89,slot_u16_0:19,slot_u16_1_sub_const:11,slot_const_or_affine:5,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_060.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_060.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_060.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
061	35	0x36b124..0x36d4e4	2335	22	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	medium	cxx_runtime:1,locale_i18n:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1	_ITM_registerTMCloneTable || __freelocale	061:20,062:2	061:20,062:1	0	vmop_018_plus0x3_state_add_const_slot_multi_path:87,vmop_114_plus0x4_state_add_const_slot_multi_path:80,vmop_258_plus0x4_state_add_const_slot_multi_path:79,vmop_337_plus0x4_state_add_const_slot_multi_path:77,vmop_340_plus0x4_state_add_const_slot_multi_path:74,vmop_215_plus0x3_state_mixed_slot_u16_0:72,vmop_189_plus0x4_state_add_const_slot_mba_stateful:68,vmop_028_plus0x3_state_add_const_slot_u16_0:64,vmop_157_plus0x4_state_add_const_slot_multi_path:61,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:61	state_add_const:2133,state_mixed:147,state_const_post:40,state_formula:5,state_preserve:3,sampled_long_or_sparse:3,sampled_backedge:2,exact:1	slot_multi_path:1502,slot_mba_stateful:593,slot_u16_0:139,slot_u16_1_sub_const:61,slot_const_or_affine:23,slot_u16_2:10,slot_unknown:7	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_061.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_061.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_061.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
062	36	0x36d524..0x36db0d	387	4	control-transfer/native-bridge candidate with no exact side-effect reference yet	exact string/data references plus opcode/control evidence	control_transfer_or_native_bridge_candidate	low_to_medium	unclassified_data:1	unclassified_data_string:1	:$23	062:2,061:1,056:1	061:2,062:2	0	vmop_028_plus0x3_state_add_const_slot_u16_0:19,vmop_337_plus0x4_state_add_const_slot_multi_path:19,vmop_114_plus0x4_state_add_const_slot_multi_path:18,vmop_018_plus0x3_state_add_const_slot_multi_path:17,vmop_258_plus0x4_state_add_const_slot_multi_path:16,vmop_185_plus0x3_state_add_const_slot_multi_path:14,vmop_064_plus0x4_state_add_const_slot_multi_path:14,vmop_066_plus0x3_state_add_const_slot_multi_path:13,vmop_347_plus0x4_state_add_const_slot_multi_path:13,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:11	state_add_const:359,state_mixed:17,state_const_post:7,sampled_backedge:2,state_preserve:1,state_formula:1	slot_multi_path:264,slot_mba_stateful:75,slot_u16_0:27,slot_u16_1_sub_const:11,slot_const_or_affine:8,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_062.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_062.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_062.md	intent_not_final	reduce opcode/dataflow around referenced site and native bridge target
063	37	0x36ecdc..0x3715ae	2661	28	TLS/SSL protocol or library-adjacent logic; host/environment inventory surface; process or shell helper surface; C++ runtime/support surface	exact string/data references plus opcode/control evidence	tls_or_ssl;cxx_runtime;process_or_shell	medium	process_or_shell:1,host_environment_inventory:1,cxx_runtime:1,locale_i18n:1,tls_or_ssl:1	process_or_host_import_symbol:1,gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,tls_protocol_message:1	pclose || _ITM_registerTMCloneTable || __freelocale || client hello, adding server name extension: %s	063:25,064:2,065:1	063:25,064:1,065:1	0	vmop_018_plus0x3_state_add_const_slot_multi_path:93,vmop_028_plus0x3_state_add_const_slot_u16_0:89,vmop_337_plus0x4_state_add_const_slot_multi_path:85,vmop_066_plus0x3_state_add_const_slot_multi_path:76,vmop_114_plus0x4_state_add_const_slot_multi_path:75,vmop_347_plus0x4_state_add_const_slot_multi_path:71,vmop_064_plus0x4_state_add_const_slot_multi_path:68,vmop_340_plus0x4_state_add_const_slot_multi_path:68,vmop_258_plus0x4_state_add_const_slot_multi_path:67,vmop_297_plus0x3_state_add_const_slot_multi_path:63	state_add_const:2452,state_mixed:135,state_const_post:48,state_formula:8,sampled_long_or_sparse:6,sampled_backedge:5,state_preserve:4,state_affine:2	slot_multi_path:1659,slot_mba_stateful:728,slot_u16_0:147,slot_u16_1_sub_const:60,slot_const_or_affine:37,slot_u16_2:17,slot_unknown:12,slot_u16_0_sub_const:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_063.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_063.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_063.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
064	38	0x3716c7..0x37176c	35	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			063:1,065:1	063:2	0	vmop_354_plus0x2_state_const_post_slot_const_or_affine:2,vmop_347_plus0x4_state_add_const_slot_multi_path:2,vmop_154_plus0x4_state_add_const_slot_multi_path:2,vmop_301_plus0x5_state_add_const_slot_mba_stateful:2,vmop_018_plus0x3_state_add_const_slot_multi_path:2,vmop_140_plus0x6_state_add_const_slot_multi_path:2,vmop_189_plus0x4_state_add_const_slot_mba_stateful:2,vmop_108_plus0x2_state_add_const_slot_mba_stateful:2,vmop_196_plus0x4_state_add_const_slot_multi_path:2,vmop_268_plus0x4_state_add_const_slot_multi_path:1	state_add_const:28,state_const_post:4,sampled_backedge:1,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:17,slot_mba_stateful:11,slot_const_or_affine:3,slot_unknown:2,slot_u16_0:1,slot_u16_1_sub_const:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_064.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_064.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_064.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
065	39	0x3717c4..0x371ff7	529	6	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			065:4,063:1,056:1	065:4,063:1,064:1	0	vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:24,vmop_340_plus0x4_state_add_const_slot_multi_path:23,vmop_114_plus0x4_state_add_const_slot_multi_path:23,vmop_028_plus0x3_state_add_const_slot_u16_0:21,vmop_064_plus0x4_state_add_const_slot_multi_path:20,vmop_066_plus0x3_state_add_const_slot_multi_path:18,vmop_347_plus0x4_state_add_const_slot_multi_path:18,vmop_018_plus0x3_state_add_const_slot_multi_path:18,vmop_258_plus0x4_state_add_const_slot_multi_path:18,vmop_189_plus0x4_state_add_const_slot_mba_stateful:17	state_add_const:494,state_mixed:22,state_const_post:8,state_preserve:2,exact:1,state_formula:1,sampled_backedge:1	slot_multi_path:345,slot_mba_stateful:116,slot_u16_0:34,slot_u16_1_sub_const:24,slot_const_or_affine:8,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_065.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_065.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_065.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
